taxa,sc=0si=1
Ammannia_coccinea,?
Ammannia_prieuriana,?
Camissonia_benitensis,0
Camissonia_campestris,1
Camissonia_contorta,0
Camissonia_kernensis,1
Camissonia_strigulosa,0
Camissoniopsis_cheiranthifolia,1
Chamerion_angustifolium,1
Chamerion_conspersum,0
Chamerion_dodonaei,0
Chamerion_latifolium,0
Chylismia_arenaria,0
Chylismia_claviformis,1
Chylismiella_pterosperma,0
Circaea_alpina,0
Circaea_canadensis,0
Circaea_cordata,0
Circaea_erubescens,0
Circaea_glabrescens,0
Circaea_lutetiana,0
Circaea_mollis,0
Circaea_repens,0
Clarkia_affinis,0
Clarkia_bottae,0
Clarkia_concinna,0
Clarkia_delicata,0
Clarkia_dudleyana,0
Clarkia_epilobioides,0
Clarkia_franciscana,0
Clarkia_gracilis,0
Clarkia_heterandra,0
Clarkia_imbricata,0
Clarkia_lewisii,0
Clarkia_lingulata,0
Clarkia_mildrediae,0
Clarkia_modesta,0
Clarkia_pulchella,0
Clarkia_rostrata,0
Clarkia_similis,0
Clarkia_unguiculata,0
Clarkia_xantiana,0
Cuphea_racemosa,?
Decodon_verticillatus,?
Diplusodon_microphyllus,?
Epilobium_alsinoides,0
Epilobium_angustum,0
Epilobium_arcticum,0
Epilobium_billardiereanum,0
Epilobium_brachycarpum,0
Epilobium_brevipes,0
Epilobium_brunnescens,0
Epilobium_campestre,0
Epilobium_canum,0
Epilobium_chionanthum,0
Epilobium_chlorifolium,0
Epilobium_ciliatum,0
Epilobium_cleistogamum,0
Epilobium_coloratum,0
Epilobium_crassum,0
Epilobium_cylindricum,0
Epilobium_densiflorum,0
Epilobium_foliosum,0
Epilobium_glabellum,0
Epilobium_gracilipes,0
Epilobium_gunnianum,0
Epilobium_hirsutum,0
Epilobium_hirtigerum,0
Epilobium_insulare,0
Epilobium_komarovianum,0
Epilobium_lanceolatum,0
Epilobium_luteum,0
Epilobium_macropus,0
Epilobium_margaretiae,0
Epilobium_melanocaulon,0
Epilobium_microphyllum,0
Epilobium_minutum,0
Epilobium_montanum,0
Epilobium_nerteroides,0
Epilobium_nevadense,0
Epilobium_nummulariifolium,0
Epilobium_obcordatum,1
Epilobium_obscurum,0
Epilobium_pallidiflorum,0
Epilobium_pallidum,0
Epilobium_palustre,0
Epilobium_parviflorum,0
Epilobium_pedunculare,0
Epilobium_pernitens,0
Epilobium_porphyrium,0
Epilobium_pubens,0
Epilobium_pycnostachyum,0
Epilobium_rigidum,0
Epilobium_roseum,0
Epilobium_rostratum,0
Epilobium_rotundifolium,0
Epilobium_septentrionale,0
Epilobium_sisikouyense,0
Epilobium_subdentatum,0
Epilobium_suffruticosum,0
Epilobium_tasmanicum,0
Epilobium_tetragonum,0
Epilobium_torreyi,0
Epilobium_vernicosum,0
Epilobium_wilsonii,0
Eremothera_boothii,1
Eremothera_minor,0
Eremothera_nevadensis,1
Eremothera_refracta,1
Eulobus_californicus,1
Eulobus_crassifolius,0
Fuchsia_andrei,0
Fuchsia_arborescens,0
Fuchsia_bracelinae,0
Fuchsia_brevilobis,0
Fuchsia_coccinea,0
Fuchsia_colensoi,0
Fuchsia_cylindracea,0
Fuchsia_cyrtandroides,0
Fuchsia_decussata,0
Fuchsia_denticulata,0
Fuchsia_excorticata,0
Fuchsia_fulgens,0
Fuchsia_glazioviana,0
Fuchsia_hartwegii,0
Fuchsia_hatschbachii,0
Fuchsia_inflata,0
Fuchsia_insignis,0
Fuchsia_jimenezii,0
Fuchsia_lycioides,0
Fuchsia_macrostigma,0
Fuchsia_magdalenae,0
Fuchsia_magellanica,0
Fuchsia_microphylla,0
Fuchsia_nigricans,0
Fuchsia_pachyrrhiza,0
Fuchsia_paniculata,0
Fuchsia_pilaloensis,0
Fuchsia_procumbens,0
Fuchsia_regia,0
Fuchsia_splendens,0
Fuchsia_thymifolia,0
Fuchsia_triphylla,0
Fuchsia_vargasiana,0
Fuchsia_verrucosa,0
Gayophytum_diffusum,0
Gayophytum_eriospermum,0
Gayophytum_heterozygum,0
Gayophytum_humile,0
Gongylocarpus_fruticulosus,1
Hauya_elegans,1
Hauya_heydeana,1
Heimia_apetala,?
Lagerstroemia_speciosa,?
Lawsonia_inermis,?
Lopezia_laciniata,0
Lopezia_langmaniae,0
Lopezia_lopezioides,0
Lopezia_racemosa,0
Lopezia_riesenbachia,0
Ludwigia_adscendens,?
Ludwigia_alata,?
Ludwigia_arcuata,?
Ludwigia_brevipes,?
Ludwigia_curtissii,0
Ludwigia_grandiflora,?
Ludwigia_hyssopifolia,0
Ludwigia_inclinata,0
Ludwigia_lanceolata,0
Ludwigia_linearis,0
Ludwigia_linifolia,0
Ludwigia_microcarpa,0
Ludwigia_nervosa,1
Ludwigia_octovalvis,0
Ludwigia_ovalis,?
Ludwigia_palustris,?
Ludwigia_peploides,?
Ludwigia_peruviana,1
Ludwigia_polycarpa,0
Ludwigia_ravenii,0
Ludwigia_repens,?
Ludwigia_sedoides,0
Ludwigia_simpsonii,0
Ludwigia_spathulata,0
Ludwigia_sphaerocarpa,?
Ludwigia_suffruticosa,0
Lythrum_borysthenicum,?
Lythrum_maritimum,?
Megacorax_gracielanus,0
Neoholmgrenia_andina,0
Nesaea_schinzii,?
Oenothera_acaulis,0
Oenothera_acutissima,0
Oenothera_affinis,0
Oenothera_albicaulis,1
Oenothera_anomala,1
Oenothera_argillicola,0
Oenothera_arida,1
Oenothera_bahia-blancae,0
Oenothera_berlandieri,1
Oenothera_biennis,0
Oenothera_boquillensis,1
Oenothera_brachycarpa,1
Oenothera_calcicola,1
Oenothera_californica,1
Oenothera_canescens,0
Oenothera_cespitosa,?
Oenothera_cinerea,1
Oenothera_clelandii,0
Oenothera_coloradensis,0
Oenothera_coronopifolia,1
Oenothera_curtiflora,0
Oenothera_deltoides,1
Oenothera_demareei,1
Oenothera_drummondii,0
Oenothera_elata,0
Oenothera_elongata,0
Oenothera_engelmannii,1
Oenothera_filiformis,1
Oenothera_filipes,1
Oenothera_flava,0
Oenothera_fruticosa,1
Oenothera_gaura,0
Oenothera_glaucifolia,1
Oenothera_glazioviana,0
Oenothera_grandiflora,0
Oenothera_grandis,1
Oenothera_hartwegii,1
Oenothera_havardii,1
Oenothera_heterophylla,1
Oenothera_hexandra,0
Oenothera_humifusa,0
Oenothera_indecora,0
Oenothera_kunthiana,0
Oenothera_laciniata,0
Oenothera_lavandulifollia,1
Oenothera_lindheimeri,1
Oenothera_linifolia,0
Oenothera_longiflora,0
Oenothera_longissima,0
Oenothera_longituba,0
Oenothera_macrocarpa,1
Oenothera_macrosceles,0
Oenothera_magellanica,0
Oenothera_maysillesii,1
Oenothera_mckelveyae,1
Oenothera_mendocinensis,0
Oenothera_multicaulis,0
Oenothera_nana,0
Oenothera_neomexicana,1
Oenothera_nutans,0
Oenothera_nuttallii,1
Oenothera_oakesiana,0
Oenothera_odorata,0
Oenothera_organensis,1
Oenothera_pallida,1
Oenothera_parodiana,0
Oenothera_patriciae,0
Oenothera_perennis,0
Oenothera_picensis,0
Oenothera_primiveris,0
Oenothera_psammophila,?
Oenothera_pubescens,0
Oenothera_ravenii,0
Oenothera_rhombipetala,1
Oenothera_rosea,0
Oenothera_sandiana,0
Oenothera_serrulata,0
Oenothera_simulans,0
Oenothera_sinuosa,1
Oenothera_speciosa,1
Oenothera_stricta,0
Oenothera_stubbei,1
Oenothera_suffrutescens,1
Oenothera_suffulta,1
Oenothera_tarijensis,0
Oenothera_tetraptera,0
Oenothera_toumeyi,1
Oenothera_triangulata,0
Oenothera_tubifera,0
Oenothera_versicolor,0
Oenothera_villaricae,0
Oenothera_villosa,0
Oenothera_wigginsii,0
Oenothera_xenogaura,1
Oenothera_xylocarpa,0
Pleurophora_pungens,?
Rotala_ramosior,?
Sonneratia_griffithii,?
Taraxia_ovata,1
Taraxia_subacaulis,0
Taraxia_tanacetifolia,1
Tetrapteron_graciliflorum,0
Trapa_bicornis,?
Xylonagra_arborea,1
Rotala_rotundifolia,?
Rotala_indica,?
Heimia_salicifolia,?
Heimia_myrtifolia,?
Heimia_montana,?
Pemphis_acidula,?
Lafoensia_acuminata,?
Punica_granatum,?
Galpinia_transvaalica,?
Capuronia_madagascariensis,?
Physocalymma_scaberrimum,?
Cuphea_hyssopifolia,?
Cuphea_appendiculata,?
Cuphea_viscosissima,?
Cuphea_carthagenensis,?
Woodfordia_fruticosa,?
Koehneria_madagascariensis,?
Pleurophora_anomala,?
Pehria_compacta,?
Adenaria_floribunda,?
Lythrum_salicaria,?
Lythrum_junceum,?
Lythrum_hyssopifolia,?
Peplis_portula,?
Lythrum_portula,?
Lythrum_flagellare,?
Lagerstroemia_indica,?
Duabanga_grandiflora,?
Lagerstroemia_parviflora,?
Duabanga_moluccana,?
Trapa_natans,?
Trapa_maximowiczii,?
Sonneratia_caseolaris,?
Sonneratia_alba,?
Sonneratia_ovata,?
Sonneratia_apetala,?
Ammannia_baccifera,?
Ammannia_latifolia,?
Nesaea_aspera,?
Ammannia_robusta,?
Ludwigia_glandulosa,?
Fuchsia_boliviana,?
Lopezia_grandiflora,0
Epilobium_pygmaeum,?
Epilobium_alsinifolium,?
Epilobium_davuricum,?
Epilobium_anagallidifolium,?
Epilobium_sikkimense,?
Epilobium_leptophyllum,?
Epilobium_lactiflorum,?
Epilobium_hornemannii,?
Epilobium_billardierianum,?
Epilobium_siskiyouense,?
Clarkia_arcuata,?
Clarkia_lassenensis,?
Clarkia_amoena,?
Clarkia_biloba,?
Oenothera_latifolia,?
Oenothera_arizonica,?
Oenothera_spachiana,?
Oenothera_riparia,?
Oenothera_pilosella,?
